lat,long
23.29347,120.274887
22.979002,120.217866
22.979002,120.217866
23.000614,120.217794
23.000614,120.217794
23.343017,120.477281
23.343017,120.477281
23.340905,120.307157
23.030124,120.224874
23.095714,120.282433
23.143136,120.421577
23.038585,120.317183
22.992191,120.204139
23.00483,120.235651
23.04188,120.24025
22.993435,120.210631
23.019425,120.199503
23.017233,120.25796
22.993955,120.202251
22.993663,120.211528
23.117687,120.39166
23.259642,120.115306
23.132392,120.296741
23.039326,120.228927
23.039326,120.228927
23.114691,120.335609
23.114691,120.335609
23.174422,120.486396
23.054674,120.202232
23.048611,120.259065
23.057026,120.152148
23.071125,120.164171
23.04677,120.270486
22.992986,120.15218
23.30959,120.295938
23.320204,120.26537
23.167265,120.585467
23.281848,120.147772
23.019077,120.134185
23.06403,120.173315
23.229578,120.263278
23.066589,120.21828
23.336348,120.309402
22.997409,120.223054
23.016505,120.26125
22.979604,120.179818
23.029928,120.451194
22.993615,120.17959
23.073494,120.160732
23.028197,120.199842
23.041598,120.249567
23.021178,120.262811
22.997618,120.168305
23.049585,120.218503
23.097097,120.281913
23.1982,120.159391
23.065876,120.220493
23.001016,120.196226
22.977712,120.186281
22.993631,120.17646
23.28627,120.138009
22.997221,120.171507
23.214193,120.30491
23.195696,120.321068
22.998807,120.234262
23.275435,120.310396
23.169447,120.170477
23.230209,120.181745
22.994534,120.168834
23.157012,120.17056
23.241193,120.126008
23.188624,120.088814
23.336625,120.504317
23.058534,120.135835
23.22541,120.166147
22.979578,120.223427
23.049842,120.175792
23.27281,120.45187
23.218653,120.106625
23.078945,120.295106
23.227586,120.349366
23.103512,120.35781
23.253308,120.128672
23.122369,120.393033
22.997241,120.194083
23.076952,120.116459
23.236983,120.183394
23.080662,120.218536
23.076351,120.494179
22.999595,120.166055
23.074779,120.518393
23.142196,120.401191
23.078664,120.294983
23.111567,120.254158
22.948773,120.251329
23.355393,120.369492
22.988536,120.244768
23.048968,120.174841
23.226164,120.349731
23.040028,120.192726
23.048527,120.178017
22.998064,120.208106
23.07798,120.145138
23.300719,120.125134
